found_date,auto_tier_guess,auto_score,myth_flag,source_api,title,authors,year,pub_date,type,venue,open_access,preprint,doi,url,query,status
2026-09-14,A?,12,,OpenAlex,From Engagement to Attitude: An Analytical Study of Employee Engagement and Positive Workplace Orientation,"Shreya Chaturvedi, Rakhi Kumari",2026,2026-09-12,article,International Journal of Innovative Research in Engineering & Multidisciplinary Physical Sciences,OA,,10.37082/ijirmps.v14.i5.233211,https://doi.org/10.37082/ijirmps.v14.i5.233211,loneliness work social connection,NEW — to review
2026-09-14,A?,11,,OpenAlex,Workplace adoption of wearable devices: insights into Greek employees’ intentions and usage trends,"Maria Vasilidou, Anastasios Diamantidis, Despoina Ioakeimidou, Ioannis Kansizoglou, Symeon Symeonidis, Prodromos Chatzoglou",2026,2026-09-12,article,Journal of Science and Technology Policy Management,OA,,10.1108/jstpm-09-2025-0450,https://doi.org/10.1108/jstpm-09-2025-0450,human-AI collaboration workplace,NEW — to review
2026-09-14,A?,11,,OpenAlex,Burnout and secondary traumatic stress in child protection workers: Untangling the role of personal and work-related factors using meta-analysis,"Jesse Roest, Maria Louison Vang, Geert Jan Stams, Irma Turkanović, Demaya Ratling, Danique Verkennis",2026,2026-09-11,article,Clinical Psychology Review,OA,,10.1016/j.cpr.2026.102801,https://doi.org/10.1016/j.cpr.2026.102801,workplace burnout neuroscience,NEW — to review
2026-09-14,A?,10,,EuropePMC,"Exploring the experiences, views, and needs of family members of emergency response workers: a systematic review and meta-synthesis.","Matoshi H, Billings J, Janse Van Rensburg M, Tekin S.",2026,2026-09-08,systematic review; review-article; review; journal article,Eur J Psychotraumatol,OA,,10.1080/20008066.2026.2713266,https://doi.org/10.1080/20008066.2026.2713266,psychological safety teams,NEW — to review
2026-09-14,A?,9,,OpenAlex,AGENTIC SOCIO-TECHNICAL SYSTEMS FOR AGING DEMOGRAPHICS: INTEGRATING GRAPH NEURAL NETWORKS AND DEEP REINFORCEMENT LEARNING FOR RESILIENT HEALTHCARE LOGISTICS,,2026,2026-09-13,article,International Journal of Progressive Research in Engineering Management and Science,OA,,10.58257/ijprems53211,https://doi.org/10.58257/ijprems53211,loneliness work social connection,NEW — to review
2026-09-14,B?,8,,OpenAlex,The Impact of Artificial Intelligence on Education and the Workplace: A Comprehensive Literature Review,Mohammed Zahidul Huq,2026,2026-09-11,article,Zenodo (CERN European Organization for Nuclear Research),OA,,10.5281/zenodo.22705489,https://doi.org/10.5281/zenodo.22705489,human-AI collaboration workplace,NEW — to review
2026-09-14,B?,8,,EuropePMC,The cognitive work of acute care nurses: A hybrid model concept analysis.,"Benjamin E, Roman Jones J, Mueller S, Menard A, Gazarian P.",2026,2026-07-31,research-article; journal article,Int J Nurs Stud Adv,OA,,10.1016/j.ijnsa.2026.100644,https://doi.org/10.1016/j.ijnsa.2026.100644,attention interruptions knowledge workers,NEW — to review
2026-09-14,B?,7,,OpenAlex,Employees Engagement: Ensuring Employee’s Reasonable Opportunity of Being Heard,"Shreya Chaturvedi, Rakhi Kumari",2026,2026-09-12,article,International Journal For Multidisciplinary Research,OA,,10.36948/ijfmr.2026.v08i05.87718,https://doi.org/10.36948/ijfmr.2026.v08i05.87718,loneliness work social connection,NEW — to review
2026-09-14,B?,7,,OpenAlex,School principals’ use of music for mood regulation: associations with stress and emotional demands at work,"Iiris Virtasalo, Emilia Makkonen, Friederike Koehler, Alessandro Ansani, Minna Huotilainen, Kaisamari Kostilainen",2026,2026-09-10,article,International Journal of Educational Management,OA,,10.1108/ijem-05-2026-0654,https://doi.org/10.1108/ijem-05-2026-0654,workplace burnout neuroscience,NEW — to review
2026-09-14,B?,7,,OpenAlex,Decoupling work motivation and work performance: Insights into employee work behavior,"Damianus Abun, Eldefonso Natividad, Egdonna Quinto, LIBERTINE GERTRUDE MACASPAC, Frelyn Ranay",2026,2026-09-10,article,Divine Word International Journal of Management and Humanities (DWIJMH) (ISSN 2980-4817),OA,,10.62025/dwijmh.v5i3.381,https://doi.org/10.62025/dwijmh.v5i3.381,workplace burnout neuroscience,NEW — to review
2026-09-14,B?,7,,EuropePMC,"Associations between work stressors, measured by the demand-control-support and effort-reward-imbalance models, and diurnal cortisol concentrations in saliva.","Mikkelsen S, Forman JL, Andersen JH, Flachs EM, Grynderup MB, Hansen ÅM, Kaerlev L, Kolstad HA, Rugulies R, Skaaby S, Thomsen JF, Bonde JP.",2026,2026-09-09,research-article; journal article,Int Arch Occup Environ Health,OA,,10.1007/s00420-026-02209-3,https://doi.org/10.1007/s00420-026-02209-3,occupational stress cortisol HPA axis,NEW — to review
2026-09-14,B?,7,,EuropePMC,Exploring opportunities with activity-based work in Swedish public workplaces-a qualitative analysis based on the socio-ecological model.,"Hansson J, Wall E, Löfstrand P, Vinberg S.",2026,2026-09-08,research-article; journal article,Int J Qual Stud Health Well-being,OA,,10.1080/17482631.2026.2728848,https://doi.org/10.1080/17482631.2026.2728848,hybrid work employee outcomes,NEW — to review
2026-09-14,B?,7,,OpenAlex,Menstrual health as an occupational equity issue in high-stress industries: A narrative review,"Meltem Akça, Meltem Yavuz Serçekman, Ozlem Ayaz",2026,2026-09-07,review,Women & Health,OA,,10.1080/03630242.2026.2715988,https://doi.org/10.1080/03630242.2026.2715988,workplace burnout neuroscience,NEW — to review
2026-09-14,B?,7,,EuropePMC,Paramedic perspectives on workplace peer support: a thematic analysis.,"Sawtell ESD, Cowlishaw S, King K, Dobbie ML, Bobetic KL, Elmer JJ, Wolkow AP, Morton E.",2026,2026-08-24,research-article; journal article,Int J Qual Stud Health Well-being,OA,,10.1080/17482631.2026.2722434,https://doi.org/10.1080/17482631.2026.2722434,work engagement job demands resources,NEW — to review
2026-09-14,B?,7,,EuropePMC,"The Contextual Resonance Theory of Psychopathology: A Cognitive-Systemic Framework for Transgenerational Trauma, Distributed Pathology, and Corrective Recontextualization.","Mladin NC, Rad D, Vîșcu LI, Cădariu IE, Marcu R, Roman D, Rad G.",2026,2026-08-16,research-article; journal article,Behav Sci (Basel),OA,,10.3390/bs16081404,https://doi.org/10.3390/bs16081404,workplace burnout neuroscience,NEW — to review
2026-09-14,B?,7,,EuropePMC,The Mediating Role of Work Engagement Between Artificial Intelligence Anxiety and Task Performance Among Nurses: A Cross-Sectional Correlational Study.,Moafa H.,2026,2026-08-16,research-article; journal article,Healthcare (Basel),OA,,10.3390/healthcare14162560,https://doi.org/10.3390/healthcare14162560,technostress employees,NEW — to review
2026-09-14,B?,7,,EuropePMC,In-Person and Online Sexual Harassment in the Workplace Against Women in Europe: A Structural Multilevel Analysis and the Aggravated Risk of the Young Cohort.,"Cuenca-Piqueras C, González-Moreno MJ, Fernández-Prados JS.",2026,2026-08-01,research-article; journal article,Behav Sci (Basel),OA,,10.3390/bs16081309,https://doi.org/10.3390/bs16081309,technostress employees,NEW — to review
2026-09-14,B?,6,,Crossref,A Hybrid Framework Combining Autoregression and Common Factors for Matrix Time Series,"Zhiyun Fan, Xiaoyu Zhang, Di Wang",2029,2029,journal-article,Statistica Sinica,?,,10.5705/ss.202025.0459,https://doi.org/10.5705/ss.202025.0459,hybrid work employee outcomes,NEW — to review
2026-09-14,B?,6,,Crossref,Enhancing the job performance of teachers in higher education by knowledge sharing behaviour: mediating role of creative self efficacy and innovative work behaviour,"Rahul Sharma, Pradeep Joshi, Gaurav Chopra",2028,2028,journal-article,International Journal of Innovation and Learning,?,,10.1504/ijil.2028.10080999,https://doi.org/10.1504/ijil.2028.10080999,remote work wellbeing productivity,NEW — to review
2026-09-14,B?,6,,OpenAlex,"Banter, focus, and suitable monitoring: Perspectives on virtual team effectiveness","Ashley Woods, Amanda McCubbin, Abdul Hafeez-Baig",2026,2026-09-14,article,AJIS. Australasian journal of information systems/AJIS. Australian journal of information systems/Australian journal of information systems,OA,,10.3127/ajis.v30.6451,https://doi.org/10.3127/ajis.v30.6451,psychological safety teams,NEW — to review
