found_date,auto_tier_guess,auto_score,myth_flag,source_api,title,authors,year,pub_date,type,venue,open_access,preprint,doi,url,query,status
2026-08-31,A?,11,,OpenAlex,Changes in work-related boredom and their affective and behavioural consequences: the moderating role of job control,"Madelon L. M. van Hooff, Edwin A. J. van Hooft, Ilke Grosemans",2026,2026-08-28,article,Work & Stress,OA,,10.1080/02678373.2026.2718053,https://doi.org/10.1080/02678373.2026.2718053,workplace burnout neuroscience,NEW — to review
2026-08-31,A?,11,,OpenAlex,Comprehensively understanding K-12 teachers’ occupational health: a convergent mixed-methods exploration of stress and wellbeing,"Cynthia A. Wiltshire, Christopher J. McCarthy, Caroline Weppner, Richard G. Lambert, Yijie Tian",2026,2026-08-28,article,Frontiers in Education,OA,,10.3389/feduc.2026.1870113,https://doi.org/10.3389/feduc.2026.1870113,occupational stress cortisol HPA axis,NEW — to review
2026-08-31,A?,11,,OpenAlex,Digital strain in the workplace: the role of instrumental social platform use on employee emotional exhaustion,"Jun Zhou, Mengni Wei, Jinhao Huang, Qimeng Dai",2026,2026-08-28,article,Frontiers in Sociology,OA,,10.3389/fsoc.2026.1878074,https://doi.org/10.3389/fsoc.2026.1878074,remote work wellbeing productivity,NEW — to review
2026-08-31,A?,10,,OpenAlex,Synergistic Impact of Environmental Pollution and Occupational Stress on Sperm DNA Integrity Unveiling Hidden Drivers of Male Infertility,Devuni Vageeshwari,2026,2026-08-27,article,Fertility Science and Research,OA,,10.25259/fsr_62_2025,https://doi.org/10.25259/fsr_62_2025,occupational stress cortisol HPA axis,NEW — to review
2026-08-31,A?,9,,OpenAlex,Employee Engagement Strategies in Multispeciality Hospitals: A Critical Review and Integrated Conceptual Framework,"Madhuri M. Patole, B. Deshmukh",2026,2026-08-31,article,Zenodo (CERN European Organization for Nuclear Research),OA,,10.5281/zenodo.22171151,https://doi.org/10.5281/zenodo.22171151,work engagement job demands resources,NEW — to review
2026-08-31,A?,9,,OpenAlex,Barriers to occupational health and safety management in micro and small enterprises: a multi-level analysis from a developing country context,"Anastácio Pinto Gonçalves Filho, Sarah Patricia de Oliveira Rios",2026,2026-08-29,article,Safety Science,OA,,10.1016/j.ssci.2026.107440,https://doi.org/10.1016/j.ssci.2026.107440,hybrid work employee outcomes,NEW — to review
2026-08-31,A?,9,,OpenAlex,"Autonomous Enterprise Platforms: A Framework for AI-Guided Decision Loops, Predictive Intelligence, and Continuous Organizational Adaptation",Shekar Vollem,2026,2026-08-29,article,International Journal of Scientific Research in Computer Science Engineering and Information Technology,OA,,10.32628/cseit26124240,https://doi.org/10.32628/cseit26124240,hybrid work employee outcomes,NEW — to review
2026-08-31,A?,9,,OpenAlex,"Social Media Engagement, Mental Health and Physical Health of Employed Late Adolescents: Basis for a Digital Wellness Awareness Program","Jobelle Resuello, Alwyn H. Delfinado, Concepcion D. Alcantara, Danielle Faye A. Tobias, Christian B. Villapando",2026,2026-08-29,article,International Journal of Innovative Science and Research Technology (IJISRT),OA,,10.38124/ijisrt/26aug462,https://doi.org/10.38124/ijisrt/26aug462,attention interruptions knowledge workers,NEW — to review
2026-08-31,A?,9,,OpenAlex,Perceived STEAM-integrated music education and students’ innovative competence: parallel indirect associations through creative self-efficacy and context-specific learning engagement,"Jianyun Wei, Yun Li, Weiyi Huo",2026,2026-08-28,article,Frontiers in Psychology,OA,,10.3389/fpsyg.2026.1923767,https://doi.org/10.3389/fpsyg.2026.1923767,workplace burnout neuroscience,NEW — to review
2026-08-31,A?,9,,OpenAlex,"The numb efficiency paradox: AI work pressure, affective numbing, and professional judgment in organizationally digitally mediated work","Shiyao Yin, Wenxuan Hu, Zirong Tian, Yifan Zhang",2026,2026-08-28,article,Frontiers in Psychology,OA,,10.3389/fpsyg.2026.1900940,https://doi.org/10.3389/fpsyg.2026.1900940,generative AI worker productivity,NEW — to review
