found_date,auto_tier_guess,auto_score,myth_flag,source_api,title,authors,year,pub_date,type,venue,open_access,preprint,doi,url,query,status
2026-08-17,A?,11,,OpenAlex,"Crafting work with AI: human–AI collaborative job crafting, human–AI fit, and employee job performance","Jun Bao, Qiutong Wang, Yiting Pan, Xiaoqian Wang, Yuying Zheng",2026,2026-08-14,article,Frontiers in Psychology,OA,,10.3389/fpsyg.2026.1903517,https://doi.org/10.3389/fpsyg.2026.1903517,technostress employees,NEW — to review
2026-08-17,A?,10,,OpenAlex,From routine to identity: the Habit-Trait Crystallization Model of personality change in the workplace,Vilis Pawar,2026,2026-08-14,article,SN Social Sciences,OA,,10.1007/s43545-026-01636-w,https://doi.org/10.1007/s43545-026-01636-w,hybrid work employee outcomes,NEW — to review
2026-08-17,A?,10,,OpenAlex,Enhancing Workplace Culture Among Lecturers at Colleges in Ho Chi Minh City: Policy Issues and Strategic Solutions, Thai Kim Trong,2026,2026-08-14,article,International Journal of Social Science and Human Research,OA,,10.47191/ijsshr/v9-i8-23,https://doi.org/10.47191/ijsshr/v9-i8-23,human-AI collaboration workplace,NEW — to review
2026-08-17,A?,10,,OpenAlex,Transforming work or eroding social capital? How reliance on artificial intelligence drives workplace involution,Ruochen Huang,2026,2026-08-14,article,Frontiers in Psychology,OA,,10.3389/fpsyg.2026.1842907,https://doi.org/10.3389/fpsyg.2026.1842907,technostress employees,NEW — to review
2026-08-17,A?,10,,OpenAlex,The mediating role of organizational trust in the impact of digital leadership on job performance and job satisfaction,"Kazım Kaya, Ziya Bahadır, Keziban Yoka, Ahmet Yalçınkaya",2026,2026-08-13,article,Frontiers in Psychology,OA,,10.3389/fpsyg.2026.1879796,https://doi.org/10.3389/fpsyg.2026.1879796,workplace burnout neuroscience,NEW — to review
2026-08-17,A?,10,,OpenAlex,"Human-Centered AI Adoption in Knowledge Work: A PRISMA-ScR Scoping Review of Technostress, Trust, Autonomy, and Employee Well-Being","Boštjan Blažič, Jasmina Štarc",2026,2026-08-13,article,Informatics,OA,,10.3390/informatics13080130,https://doi.org/10.3390/informatics13080130,technostress employees,NEW — to review
2026-08-17,A?,10,,OpenAlex,"Artificial intelligence in workplace health: an integrative framework for technological integration, ethical challenges, and business imperatives","Yuping Zhang, Haixin Li, Tianxiang Mai, Xuejing Ding, Zhilei Mao",2026,2026-08-12,article,Humanities and Social Sciences Communications,OA,,10.1057/s41599-026-08520-1,https://doi.org/10.1057/s41599-026-08520-1,workplace burnout neuroscience,NEW — to review
2026-08-17,A?,9,,OpenAlex,From silence to engagement: how leadership shapes employee participation in workplace mental wellbeing initiatives,"Russell Wordsworth, Sarah Jane Little, Sarah Wright",2026,2026-08-14,article,Employee Relations,OA,,10.1108/er-12-2025-1133,https://doi.org/10.1108/er-12-2025-1133,remote work wellbeing productivity,NEW — to review
2026-08-17,A?,9,,OpenAlex,Understanding barriers and facilitators of integrating management of Moderate Acute Malnutrition (MAM) into the Ethiopian primary health care system using Consolidated Framework for Implementation Research (CFIR),"Alinoor Mohamed Farah, Samson Gebremedhin Gebreselassie, Yakob Desalegn, Bilal Shikur Endris, Aweke Kebede, Kemeria Barsenga",2026,2026-08-14,article,PLOS Global Public Health,OA,,10.1371/journal.pgph.0007127,https://doi.org/10.1371/journal.pgph.0007127,attention interruptions knowledge workers,NEW — to review
2026-08-17,A?,9,,OpenAlex,A Comparative Analysis of U.S. and Canadian Healthcare Expenditures (1975–2008): Insights from Canada's Regulatory Framework,Chris Nnamdi Anazia,2026,2026-08-14,article,INTERNATIONAL JOURNAL OF SOCIAL SCIENCES AND MANAGEMENT RESEARCH,OA,,10.56201/ijssmr.vol.11no5.2025.pg351.375,https://doi.org/10.56201/ijssmr.vol.11no5.2025.pg351.375,attention interruptions knowledge workers,NEW — to review
